"?79,31,34"
"96,41,41"
"8,93,8"
"0,5,66"
"57,32,59"
"36,12,19"
"6,77,82"
"63,15,49"
"15,57,16"
"28,42,79"
"84,91,58"
"78,51,52"
"41,64,45"
"83,3,64"
"41,96,24"
"67,65,41"
"86,37,51"
"47,16,27"
"64,18,18"
"96,73,83"
"7,17,78"
"13,98,93"
"15,2,24"
"49,35,16"
"28,4,65"
"13,93,80"
"76,63,70"
"6,14,55"
"15,56,50"
"27,44,62"
"90,87,87"
"76,83,89"
"77,50,62"
"9,18,61"
"16,18,34"
"19,48,19"
"64,35,12"
"78,43,81"
"21,86,36"
"29,54,70"
"37,11,65"
"55,90,79"
"85,36,14"
"86,5,77"
"33,61,26"
"68,50,85"
"17,76,15"
"21,96,9"
"76,34,82"
"65,19,92"
"72,78,42"
"59,86,43"
"69,36,37"
"66,21,65"
"55,50,69"
"96,19,5"
"5,0,91"
"38,62,12"
"35,8,34"
"82,81,68"
"27,95,43"
"13,7,4"
"33,80,47"
"16,89,16"
"63,43,75"
"29,70,90"
"71,30,2"
"69,85,40"
"56,44,52"
"44,84,33"
"13,1,49"
"38,36,46"
"67,95,1"
"21,62,47"
"68,11,93"
"93,2,63"
"97,30,40"
"2,16,91"
"75,7,7"
"25,20,53"
"36,93,54"
"32,63,21"
"30,2,61"
"76,79,18"
"70,44,51"
"9,63,9"
"61,24,12"
"24,19,95"
"27,35,9"
"42,27,90"
"85,93,8"
"5,96,43"
"68,39,78"
"32,99,44"
"83,95,55"
"81,12,84"
"12,34,56"
"83,4,72"
"31,55,90"
"4,65,98"
"23,62,5"
"99,46,88"
"38,44,42"
"26,23,5"
"97,38,21"
"10,63,59"
"89,57,33"
"0,84,98"
"89,63,72"
"30,53,14"
"89,75,26"
"54,11,53"
"68,4,47"
"19,55,83"
"55,49,38"
"22,29,95"
"86,19,18"
"87,67,4"
"35,55,35"
"33,8,46"
"15,52,76"
"78,96,80"
"97,26,52"
"75,3,73"
"23,43,58"
"44,20,41"
"41,31,5"
"22,14,46"
"20,71,95"
"36,80,4"
"44,79,87"
"39,99,89"
"92,5,5"
"9,32,73"
"63,24,12"
"89,16,66"
"92,83,24"
"15,86,28"
"40,88,77"
"6,61,23"
"39,9,50"
"15,30,65"
"81,62,32"
"47,58,41"
"97,73,15"
"2,64,65"
"50,25,8"
"49,25,57"
"78,69,28"
"77,81,31"
"71,55,6"
"8,19,53"
"9,78,41"
"90,49,37"
"61,66,52"
"18,60,53"
"34,68,42"
"4,57,35"
"25,69,62"
"97,86,94"
"99,84,68"
"89,9,99"
"4,84,80"
"32,62,81"
